"Χρονική σήμανση","Σε ποιο Εργασιακό Περιβάλλον /Τομέα/ Μονάδα εργάζεστε;","Σε ποιο τμήμα του Παθολογικού Τομέα εργάζεστε;","Σε ποιο τμήμα του Χειρουργικού Τομέα εργάζεστε;","Σε ποιο τμήμα του Εργαστηριακού Τομέα εργάζεστε;","Παρακαλώ γράψτε το όνομα του Τομέα που εργάζεστε.","1. Οι εργαζόμενοι υποστηρίζουν ο ένας τον άλλον.","2. Υπάρχει επαρκές προσωπικό για τη διεκπεραίωση της εργασίας.","3. Όταν υπάρχει μεγάλος όγκος εργασίας που πρέπει να γίνει άμεσα, το προσωπικό εργάζεται ομαδικά για την ολοκλήρωση της.","4. Υπάρχει σεβασμός ανάμεσα στους εργαζομένους.","5. Το προσωπικό εργάζεται περισσότερες ώρες από αυτές που διασφαλίζουν ασφαλή φροντίδα για τον ασθενή","6. Το προσωπικό εργάζεται δυναμικά για τη βελτίωση της ασφάλειας του ασθενούς.","7. Αξιοποιείται περισσότερο προσωρινό προσωπικό από αυτό που διασφαλίζει την ασφαλή φροντίδα του ασθενούς.","8. Το προσωπικό αισθάνεται ότι τα λάθη του μπορεί να χρησιμοποιηθούν εναντίον του. ","9. Τα λάθη οδήγησαν σε θετικές αλλαγές.","10. Από τύχη δεν συμβαίνουν σοβαρά λάθη.","11. Όταν υπάρχει μεγάλος φόρτος εργασίας παρέχεται βοήθεια από άλλες Μονάδες.","12. Όταν δηλώνεται ένα δυσμενές συμβάν, υπάρχει η αίσθηση ότι καταγράφεται το άτομο και όχι το καθαυτό συμβάν.","13. Όταν γίνονται αλλαγές για τη βελτίωση της ασφάλειας του ασθενούς, αξιολογείται η αποτελεσματικότητά τους.","14. Το προσωπικό εργάζεται σε «κατάσταση κρίσης» προσπαθώντας να κάνει πολλά πράγματα γρήγορα.","15. Η ασφάλεια του ασθενούς αποτελεί προτεραιότητα ακόμα και όταν υπάρχει φόρτος εργασίας. ","16. Το προσωπικό ανησυχεί ότι τα λάθη του καταγράφονται στο προσωπικό του φάκελο.","17. Υπάρχει πρόβλημα ασφάλειας του ασθενούς.","18. Οι διαδικασίες διεκπεραίωσης της εργασίας και το σύστημα εν γένει συμβάλλει στην πρόληψη δυσμενών συμβάντων.","1. Επιβραβεύει το προσωπικό με καλά λόγια όταν τηρούνται οι διαδικασίες ασφαλούς φροντίδας του ασθενούς.","2. Λαμβάνει σοβαρά υπόψη του τις προτάσεις του προσωπικού για βελτίωση της ασφάλειας του ασθενούς.","3. Παροτρύνει το προσωπικό να εργάζεται γρηγορότερα όταν υπάρχει υπερβολικός φόρτος εργασίας και πίεση, ακόμη και όταν παραβλέπονται σημαντικές διαδικασίες ασφάλειας του ασθενούς.","4. Παραβλέπει επαναλαμβανόμενα προβλήματα ασφάλειας του ασθενούς.","1. Γίνεται συστηματική αξιολόγηση των αλλαγών που τίθενται σε εφαρμογή, βάσει δυσμενών συμβάντων που έχουν αναφερθεί. ","2. Το προσωπικό μιλάει ελεύθερα όταν διαπιστώσει κάτι που επιδρά αρνητικά στη φροντίδα υγείας του ασθενούς.","3. Το προσωπικό ενημερώνεται συχνά για τα δυσμενή συμβάντα που λαμβάνουν χώρα.","4. Το προσωπικό μπορεί ελεύθερα να αμφισβητήσει τις αποφάσεις ή τις ενέργειες των ανωτέρων του.","5. Το προσωπικό συζητά τρόπους πρόληψης δυσμενών συμβάντων ώστε να μην επαναληφθούν.","6. Το προσωπικό φοβάται να ρωτήσει, όταν κάτι δεν φαίνεται σωστό.","…..αλλά εντοπιστεί και διορθωθεί πριν επηρεάσει τον ασθενή ","……αλλά δεν έχει πιθανότητα να βλάψει τον ασθενή.","…..που θα μπορούσε να βλάψει τον ασθενή, αλλά δεν τον επηρέασε ","Παρακαλώ αξιολογήστε το επίπεδο ασφάλειας των ασθενών συνολικά στο Εργασιακό Περιβάλλον/Μονάδα σας επιλέγοντας με √ την απάντηση που σας εκφράζει.","1. Η Διοίκηση εξασφαλίζει εργασιακό κλίμα που προάγει την ασφάλεια του ασθενούς .","2. Υπάρχει ελλιπής συντονισμός μεταξύ των Μονάδων.","3. Η μεταφορά ασθενούς από τη μία Μονάδα στην άλλη συνήθως συνοδεύεται από προβλήματα.","4. Υπάρχει καλή συνεργασία ανάμεσα στις Μονάδες όταν αυτό απαιτείται.","5. Συχνά, σημαντικές πληροφορίες σχετικά με τη νοσηλεία του ασθενούς χάνονται κατά την αλλαγή της βάρδιας.","6. Η συνεργασία με το προσωπικό άλλων Μονάδων είναι συχνά δυσάρεστη.","7. Συχνά παρουσιάζονται διάφορα προβλήματα κατά την ανταλλαγή πληροφοριών μεταξύ των Μονάδων.","8. Η ασφάλεια του ασθενούς αποτελεί κύρια προτεραιότητα για την Διοίκηση.","9. Η Διοίκηση δείχνει να ενδιαφέρεται για την ασφάλεια του ασθενούς μόνο μετά από την αναφορά κάποιου δυσμενούς συμβάντος.","10. Οι Μονάδες συνεργάζονται καλά μεταξύ τους για την παροχή άριστης ποιοτικά φροντίδας υγείας στον ασθενή.","11. Η αλλαγή βάρδιας είναι προβληματική για τον ασθενή.","Τους τελευταίους 12 μήνες πόσα δυσμενή συμβάντα έχετε αναφέρει; (Αναφέρετε έναν αριθμό)","1. Φύλο: ","2. Ηλικία…","3α. Ποια είναι η βασική σας εκπαίδευση;","3β. Άλλες σπουδές:","7. Πόσο χρονικό διάστημα εργάζεστε στο συγκεκριμένο Νοσοκομείο;","8. Πόσο χρονικό διάστημα εργάζεστε στη συγκεκριμένη μονάδα ?","9. Συνήθως πόσες ώρες την εβδομάδα εργάζεστε στο συγκεκριμένο Νοσοκομείο; …","10. Τι θέση κατέχετε στο νοσοκομείο που εργάζεστε;","12. Πόσο χρονικό διάστημα εργάζεστε στην παρούσα ειδικότητα ή επάγγελμα; (Αθροιστικά στο τρέχον νοσοκομείο και σε τυχόν άλλα)","Παρακαλώ, καταγράψτε ελεύθερα τυχόν σχόλια και παρατηρήσεις σχετικά με ζητήματα ασφάλειας των ασθενών, ιατρικών λαθών και την αναφορά δυσμενών συμβάντων εντός του νοσοκομείου σας."
"2022/07/15 9:15:33 π.μ. EET","Ψυχιατρικός Τομέας","","","","","2","2","3","3","3","3","2","2","2","3","3","3","3","3","3","2","2","2","2","2","3","2","2","3","3","2","2","2","1","2","2","Μέτριο","2","2","2","2","2","2","2","2","2","2","2","6","Γυναίκα","23","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","12","10","34","4. ΤΕ Νοσηλευτής","23","566"
"2022/09/08 10:07:26 π.μ. EET","Εργαστηριακός Τομέας","","","Άλλο","K.ΑΠΟΣΤΕΙΡΩΣΗ","4","3","4","4","3","3","2","4","4","1","1","3","3","4","4","3","2","3","3","4","2","1","3","3","3","4","3","2","4","4","4","Καλό","3","4","3","3","3","3","3","4","3","3","4","3","Γυναίκα","50","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","32","5χρονια","50","4. ΤΕ Νοσηλευτής","5",""
"2022/10/18 6:28:27 μ.μ. EET","Παθολογικός Τομέας","Παθολογικό","","","","3","1","4","3","5","3","5","5","3","5","1","4","1","5","2","","5","1","4","4","5","4","2","2","2","1","4","4","1","1","1","Κακό","1","5","3","3","3","5","4","3","5","2","4","0","Άνδρας","59","3. Πανεπιστημιακή (Π.Ε.)","3. Διδακτορικό δίπλωμα","19 ετη","19 ετη","50","2. Ειδικός ιατρός","34 ετη","Από τύχη δεν συμβαίνουν τα χειρότερα"
"2022/10/18 9:18:51 μ.μ. EET","Παθολογικός Τομέας","Νευρολογικό","","","","4","1","3","3","4","3","5","5","2","4","1","3","2","5","3","2","4","4","1","3","2","2","2","4","2","2","2","3","4","3","2","Μέτριο","2","5","3","4","4","2","4","1","5","3","3","5","Γυναίκα","29","3. Πανεπιστημιακή (Π.Ε.)","2. Μεταπτυχιακές σπουδές","5 έτη","5 έτη","45 ώρες","1. Ειδικευόμενος ιατρός","5 χρόνια"," "
"2022/10/19 6:08:33 μ.μ. EET","Χειρουργικός Τομέας","","Χειρουργικό","","","5","1","5","5","5","5","4","5","1","4","1","3","1","5","5","5","4","1","5","1","5","1","4","5","5","4","5","4","5","3","2","Πολύ Καλό","2","2","1","4","2","2","2","3","5","5","2","0","Άνδρας","52","3. Πανεπιστημιακή (Π.Ε.)","1. Ειδικότητα","17","14","56","2. Ειδικός ιατρός","17","Η μεγάλη έλλειψη νοσηλευτικού προσωπικού είναι το μεγάλο πρόβλημα που κάνει μη ασφαλές το νοσηλευτικό έργο και διακυβεύεται η ασφάλεια του ασθενους  "
"2022/10/19 6:46:03 μ.μ. EET","Χειρουργικός Τομέας","","ΩΡΛ","","","3","3","2","3","4","4","3","3","4","2","3","4","4","4","5","4","2","4","3","3","3","2","3","3","5","3","4","2","4","2","2","Καλό","5","2","2","4","1","2","2","5","2","4","1","2","Γυναίκα","37","3. Πανεπιστημιακή (Π.Ε.)","2. Μεταπτυχιακές σπουδές","8 έτη ","8 έτη ","70-80","2. Ειδικός ιατρός","8 έτη ",""
"2022/10/20 10:23:33 π.μ. EET","Χειρουργικός Τομέας","","Χειρουργικό","","","4","2","5","4","5","5","3","5","3","3","3","3","4","5","5","4","3","4","5","4","1","1","3","5","5","4","5","3","5","3","2","Πολύ Καλό","5","4","4","4","3","3","4","5","2","5","3","","Γυναίκα","45","3. Πανεπιστημιακή (Π.Ε.)","3. Διδακτορικό δίπλωμα","","","","2. Ειδικός ιατρός","18 ΧΡΟΝΙΑ",""
"2022/10/21 8:00:26 π.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","4","2","4","4","4","3","3","5","1","5","1","3","3","5","5","3","2","2","5","5","3","4","1","5","5","4","5","4","2","3","3","Πολύ Καλό","3","3","3","4","4","3","4","3","3","3","3","0","Άνδρας","55","3. Πανεπιστημιακή (Π.Ε.)","3. Διδακτορικό δίπλωμα","22","22","35","2. Ειδικός ιατρός","30",""
"2022/10/31 8:05:30 μ.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","4","4","4","4","4","4","4","4","4","1","4","4","4","3","4","3","3","4","4","4","1","4","4","4","4","4","4","4","4","4","4","Πολύ Καλό","4","3","3","3","3","3","3","3","3","3","3","","Άνδρας","52","3. Πανεπιστημιακή (Π.Ε.)","1. Ειδικότητα","4 ΕΤΗ","","4 ΕΤΗ","2. Ειδικός ιατρός","22 ΕΤΗ","ΝΑ"
"2022/11/09 10:37:27 π.μ. EET","Άλλο","","","","NOΣΗΛΕΥΤΙΚΗ ΔΙΕΥΘΥΝΣΗ","3","1","4","3","3","3","4","4","4","2","2","3","3","4","5","3","2","4","4","3","2","2","3","3","2","2","4","3","4","4","4","Καλό","4","2","2","4","3","2","2","5","","4","3","2","Γυναίκα","56","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","36 ΕΤΗ","6 ΕΤΗ","50 ","4. ΤΕ Νοσηλευτής","36",""
"2022/11/09 10:59:01 π.μ. EET","Άλλο","","","","ΝΟΣΗΛΕΥΤΙΚΗ ΔΙΕΥΘΥΝΣΗ","3","2","3","2","3","4","4","3","4","3","3","3","4","4","4","3","1","4","3","3","2","1","3","3","2","3","3","2","4","4","4","Καλό","4","3","3","3","3","3","3","5","2","3","2","3","Γυναίκα","40","2. Τεχνολογική (Τ.Ε.)","","18 ΧΡΟΝΙΑ","5","40-45","4. ΤΕ Νοσηλευτής","20",""
"2022/11/09 3:27:01 μ.μ. EET","Άλλο","","","","ΝΟΣΗΛΕΥΤΙΚΗ ΔΙΕΥΘΥΝΣΗ","4","3","4","3","3","4","3","4","3","2","2","4","2","4","3","3","2","4","3","4","2","2","3","3","3","3","3","3","4","5","5","Καλό","4","3","3","2","3","3","3","5","2","3","2","2","Γυναίκα","43","2. Τεχνολογική (Τ.Ε.)","","20","11","40-45","4. ΤΕ Νοσηλευτής","20",""
